~id;from;to;label;Recette;unit;Step_Prod;unit_action;temps_masque
e1065;v191;v1;production_fix;120;s;PESER;batch;
e1066;v191;v1;production_fix;600;s;REALISER;batch;
e1067;v191;v1;production_fix;120;s;RESERVER;batch;
e1071;v194;v1;production_fix;120;s;PREPARER;batch;
e1072;v194;v1;production_fix;120;s;PESER;batch;
e1073;v194;v1;production_fix;420;s;REALISER;batch;
e1077;v197;v1;production_fix;120;s;PREPARER;batch;
e1078;v197;v1;production_fix;120;s;PESER;batch;
e1079;v197;v1;production_fix;420;s;REALISER;batch;
e1082;v198;v294;production_fix;180;s;NETTOYER;batch;
e1083;v199;v294;production_fix;120;s;PREPARER;batch;
e1084;v199;v294;production_fix;120;s;PESER;batch;
e1089;v200;v294;production_fix;60;s;PREPARER;batch;
e1090;v200;v294;production_fix;120;s;PESER;batch;
e1092;v200;v294;production_fix;300;s;PREPARER GLACAGE;batch;
e1094;v200;v294;production_fix;180;s;NETTOYER;batch;
e1095;v201;v294;production_fix;7.5;s;DECOUPER;batch;
e1096;v201;v294;production_fix;8;s;PREPARER;batch;
e1097;v201;v294;production_fix;15;s;PESER;batch;
e1099;v201;v294;production_fix;38;s;PREPARER GLACAGE;batch;
e1101;v201;v294;production_fix;23;s;NETTOYER;batch;
e1102;v210;v1;production_fix;180;s;ABAISSER;batch;
e1110;v211;v1;production_fix;120;s;PESER;batch;
e1111;v211;v1;production_fix;300;s;REALISER;batch;
e1112;v214;v1;production_fix;120;s;PREPARER;batch;
e1113;v214;v1;production_fix;180;s;PESER;batch;
e1114;v214;v1;production_fix;300;s;PETRIR;batch;
e1115;v214;v1;production_fix;180;s;POINTER;batch;
e1116;v214;v1;production_fix;180;s;RABATRE;batch;
e1123;v220;v1;production_fix;120;s;PREPARER;batch;
e1124;v220;v1;production_fix;180;s;PESER;batch;
e1125;v220;v1;production_fix;240;s;PETRIR;batch;
e1126;v220;v1;production_fix;180;s;POINTER;batch;
e1133;v224;v1;production_fix;120;s;PREPARER;batch;
e1134;v224;v1;production_fix;180;s;PESER;batch;
e1135;v224;v1;production_fix;300;s;PETRIR;batch;
e1136;v224;v1;production_fix;180;s;POINTER;batch;
e1137;v224;v1;production_fix;180;s;RABATRE;batch;
e1144;v228;v1;production_fix;120;s;PREPARER;batch;
e1145;v228;v1;production_fix;180;s;PESER;batch;
e1146;v228;v1;production_fix;300;s;PETRIR;batch;
e1155;v232;v1;production_fix;120;;CUIRE;batch;
e1157;v232;v1;production_fix;180;;NETTOYER;batch;
e1158;v233;v1;production_fix;120;s;PREPARER;batch;
e1159;v233;v1;production_fix;180;s;PESER;batch;
e1160;v233;v1;production_fix;300;s;PETRIR;batch;
e1161;v233;v1;production_fix;60;s;POINTER;batch;
e1165;v235;v1;production_fix;120;s;CUIRE;batch;
e1167;v235;v1;production_fix;180;s;NETTOYER;batch;
e1168;v236;v1;production_fix;120;s;PREPARER;batch;
e1169;v236;v1;production_fix;180;s;PESER;batch;
e1170;v236;v1;production_fix;300;s;PETRIR;batch;
e1171;v236;v1;production_fix;60;s;POINTER;batch;
e1172;v236;v1;production_fix;60;s;RABATRE;batch;
e1175;v240;v1;production_fix;400;s;APRETER;batch;
e1178;v240;v1;production_fix;300;s;NETTOYER;batch;
e1179;v241;v1;production_fix;120;s;PREPARER;batch;
e1180;v241;v1;production_fix;180;s;PESER;batch;
