~id;from;to;label;Recette;unit;Step_Prod;unit_action;temps_masque
e824;v89;v294;production_var;120;s;REALISER;pcs;
e830;v92;v1;production_var;8;s;MOULER;pcs;
e831;v92;v1;production_var;3;s;CUIRE;pcs;
e832;v92;v1;production_var;6;s;RESERVER;pcs;
e836;v94;v294;production_var;120;s;GARNIR;pcs;
e838;v95;v294;production_var;120;s;GARNIR;pcs;
e840;v96;v294;production_var;120;s;GARNIR;pcs;
e842;v98;v294;production_var;120;s;GARNIR;pcs;
e844;v99;v294;production_var;30;s;DETAILLER;pcs;
e845;v99;v294;production_var;60;s;FONCER;pcs;
e846;v99;v294;production_var;120;s;CUIRE;pcs;
e847;v99;v294;production_var;30;s;RESERVER;pcs;
e855;v108;v294;production_var;180;s;GARNIR;pcs;
e856;v108;v294;production_var;30;s;RESERVER;pcs;
e858;v109;v294;production_var;180;s;GARNIR;pcs;
e859;v109;v294;production_var;30;s;RESERVER;pcs;
e865;v111;v294;production_var;120;s;GARNIR;pcs;
e866;v111;v294;production_var;30;s;RESERVER;pcs;
e872;v115;v294;production_var;180;s;GARNIR;pcs;
e873;v115;v294;production_var;30;s;RESERVER;pcs;
e875;v117;v294;production_var;80;s;REALISER;pcs;
e876;v117;v294;production_var;80;s;GLACER;pcs;
e877;v117;v294;production_var;20;s;RESERVER;pcs;
e879;v118;v294;production_var;30;s;REALISER;pcs;
e880;v118;v294;production_var;90;s;CUIRE;pcs;
e881;v118;v294;production_var;30;s;RESERVER;pcs;
e900;v132;v294;production_var;180;s;GARNIR;pcs;
e901;v132;v294;production_var;30;s;RESERVER;pcs;
e909;v137;v1;production_var;5;s;FACONNER;pcs;
e910;v137;v1;production_var;16;s;FRIRE;pcs;
e911;v137;v1;production_var;4;s;RESERVER;pcs;
e912;v137;v1;production_var;5;s;SUCRER;pcs;
e920;v139;v1;production_var;5;s;GARNIR;pcs;
e921;v141;v1;production_var;5;s;GARNIR;pcs;
e922;v143;v1;production_var;90;s;REALISER;pcs;
e923;v144;v1;production_var;5;s;FACONNER;pcs;
e924;v144;v1;production_var;8;s;FRIRE;pcs;
e925;v144;v1;production_var;2;s;RESERVER;pcs;
e926;v144;v1;production_var;5;s;SUCRER;pcs;
e928;v145;v1;production_var;5;s;GARNIR;pcs;
e929;v146;v1;production_var;5;s;GARNIR;pcs;
e930;v147;v294;production_var;2;s;POCHER;pcs;
e931;v147;v294;production_var;7.5;s;DORER;pcs;
e932;v147;v294;production_var;7.5;s;CUIRE;pcs;
e933;v147;v294;production_var;15;s;RESERVER;pcs;
e934;v147;v294;production_var;19;s;GARNIR;pcs;
e936;v147;v294;production_var;12;s;GLACER;pcs;
e943;v151;v294;production_var;2;s;POCHER;pcs;
e944;v151;v294;production_var;7.5;s;DORER;pcs;
e945;v151;v294;production_var;7.5;s;CUIRE;pcs;
e946;v151;v294;production_var;15;s;RESERVER;pcs;
e947;v151;v294;production_var;19;s;GARNIR;pcs;
e949;v151;v294;production_var;12;s;GLACER;pcs;
e953;v154;v294;production_var;2;s;POCHER;pcs;
e954;v154;v294;production_var;7.5;s;DORER;pcs;
e955;v154;v294;production_var;7.5;s;CUIRE;pcs;
e956;v154;v294;production_var;15;s;RESERVER;pcs;
e957;v154;v294;production_var;19;s;GARNIR;pcs;
e959;v154;v294;production_var;12;s;GLACER;pcs;
e961;v155;v1;production_var;30;s;FACONNER;pcs;
e962;v155;v1;production_var;12;s;DORER;pcs;
e963;v155;v1;production_var;18;s;CUIRE;pcs;
e964;v155;v1;production_var;18;s;RESERVER;pcs;
e967;v156;v1;production_var;120;s;FACONNER;pcs;
e968;v156;v1;production_var;12;s;DORER;pcs;
e969;v156;v1;production_var;18;s;CUIRE;pcs;
e970;v156;v1;production_var;18;s;RESERVER;pcs;
e973;v157;v1;production_var;120;s;FACONNER;pcs;
e974;v157;v1;production_var;12;s;DORER;pcs;
e975;v157;v1;production_var;18;s;CUIRE;pcs;
e976;v157;v1;production_var;18;s;RESERVER;pcs;
e979;v158;v1;production_var;120;s;FACONNER;pcs;
e980;v158;v1;production_var;12;s;DORER;pcs;
e981;v158;v1;production_var;18;s;CUIRE;pcs;
e982;v158;v1;production_var;18;s;RESERVER;pcs;
e984;v159;v294;production_var;60;s;APRETER;pcs;
e985;v159;v294;production_var;60;s;CUIRE;pcs;
e986;v159;v294;production_var;30;s;RESERVER;pcs;
e991;v163;v1;production_var;60;s;GARNIR;pcs;
e992;v163;v1;production_var;120;s;CUIRE;pcs;
e993;v163;v1;production_var;120;s;RESERVER;pcs;
e995;v164;v1;production_var;60;s;GARNIR;pcs;
e996;v164;v1;production_var;120;s;CUIRE;pcs;
e997;v164;v1;production_var;120;s;RESERVER;pcs;
e999;v165;v1;production_var;60;s;GARNIR;pcs;
e1000;v165;v1;production_var;120;s;CUIRE;pcs;
e1001;v165;v1;production_var;120;s;RESERVER;pcs;
e1003;v166;v1;production_var;60;s;GARNIR;pcs;
e1004;v166;v1;production_var;120;s;CUIRE;pcs;
e1005;v166;v1;production_var;120;s;RESERVER;pcs;
e1007;v167;v1;production_var;60;s;GARNIR;pcs;
e1008;v167;v1;production_var;120;s;CUIRE;pcs;
e1009;v167;v1;production_var;120;s;RESERVER;pcs;
e1011;v172;v1;production_var;30;s;DETAILLER;pcs;
e1012;v172;v1;production_var;60;s;FONCER;pcs;
e1020;v175;v1;production_var;60;s;GARNIR;pcs;
e1021;v175;v1;production_var;120;s;CUIRE;pcs;
e1022;v175;v1;production_var;120;s;RESERVER;pcs;
e1024;v177;v1;production_var;60;s;GARNIR;pcs;
e1025;v177;v1;production_var;120;s;CUIRE;pcs;
e1026;v177;v1;production_var;120;s;RESERVER;pcs;
e1028;v178;v1;production_var;60;s;GARNIR;pcs;
e1029;v178;v1;production_var;120;s;CUIRE;pcs;
e1030;v178;v1;production_var;120;s;RESERVER;pcs;
e1032;v179;v1;production_var;60;s;GARNIR;pcs;
e1033;v179;v1;production_var;120;s;CUIRE;pcs;
e1034;v179;v1;production_var;120;s;RESERVER;pcs;
