~id;from;to;label;Recette;unit;Step_Prod;unit_action;temps_masque
e164;v77;v75;contient;165;g;;;
e165;v77;v66;contient;25;g;;;
e166;v78;v79;contient;80;g;;;
e167;v78;v4;contient;3;g;;;
e168;v79;v20;contient;823;g;;;
e169;v79;v12;contient;823;g;;;
e170;v79;v6;contient;461;g;;;
e171;v79;v9;contient;33;g;;;
e172;v79;v10;contient;82;g;;;
e173;v79;v16;contient;461;g;;;
e174;v79;v7;contient;165;g;;;
e175;v79;v18;contient;165;g;;;
e176;v79;v80;contient;988;g;;;
e177;v81;v82;contient;60;g;;;
e178;v82;v18;contient;250;g;;;
e179;v82;v7;contient;120;g;;;
e180;v82;v9;contient;5;g;;;
e181;v82;v4;contient;50;g;;;
e182;v82;v17;contient;50;g;;;
e183;v82;v20;contient;250;g;;;
e184;v82;v71;contient;10;g;;;
e185;v82;v66;contient;180;g;;;
e186;v82;v83;contient;90;g;;;
e187;v83;v285;contient;;;;;
e188;v84;v88;contient;0.8264;pcs;;;
e189;v84;v91;contient;1;pcs;;;
e190;v85;v88;contient;1.1901;pcs;;;
e191;v85;v91;contient;1;pcs;;;
e192;v86;v88;contient;1.3967;pcs;;;
e193;v86;v91;contient;1;pcs;;;
e194;v87;v88;contient;0.6694;pcs;;;
e195;v87;v91;contient;1;pcs;;;
e196;v88;v55;contient;480;g;;;
e197;v88;v90;contient;270;g;;;
e198;v89;v88;contient;1;pcs;;;
e199;v89;v91;contient;1;pcs;;;
e200;v90;v59;contient;2667;g;;;
e201;v90;v22;contient;1333;g;;;
e202;v92;v93;contient;25;g;;;
e203;v93;v20;contient;128;g;;;
e204;v93;v18;contient;200;g;;;
e205;v93;v102;contient;24;g;;;
e206;v93;v101;contient;128;g;;;
e207;v93;v45;contient;224;g;;;
e208;v93;v103;contient;288;g;;;
e209;v93;v9;contient;5;g;;;
e210;v93;v71;contient;5;g;;;
e211;v94;v97;contient;1.3967;pcs;;;
e212;v95;v97;contient;1.1901;pcs;;;
e213;v96;v97;contient;0.8264;pcs;;;
e214;v97;v99;contient;1;pcs;;;
e215;v97;v104;contient;500;g;;;
e216;v98;v97;contient;1;pcs;;;
e217;v99;v100;contient;240;g;;;
e218;v100;v20;contient;1525;g;;;
e219;v100;v18;contient;847;g;;;
e220;v100;v9;contient;17;g;;;
e221;v100;v45;contient;847;g;;;
e222;v100;v101;contient;339;g;;;
e223;v100;v4;contient;424;g;;;
e224;v101;v285;contient;;;;;
e225;v103;v275;contient;;;;;
e226;v104;v105;contient;651;g;;;
e227;v104;v106;contient;3;pcs;;;
e228;v104;v7;contient;879;g;;;
e229;v104;v4;contient;814;g;;;
e230;v104;v18;contient;1140;g;;;
e231;v104;v107;contient;13;g;;;
e232;v108;v99;contient;1;pcs;;;
e233;v108;v59;contient;325;g;;;
e234;v108;v104;contient;350;g;;;
e235;v109;v99;contient;1;pcs;;;
e236;v109;v110;contient;350;g;;;
e237;v109;v104;contient;500;g;;;
e238;v110;v7;contient;559;g;;;
e239;v110;v103;contient;294;g;;;
e240;v110;v6;contient;147;g;;;
e241;v111;v99;contient;1;pcs;;;
e242;v111;v112;contient;465;g;;;
e243;v112;v113;contient;806;g;;;
e244;v112;v53;contient;161;g;;;
e245;v112;v114;contient;1452;g;;;
e246;v112;v18;contient;581;g;;;
e247;v113;v284;contient;;;;;
e248;v115;v99;contient;1;pcs;;;
e249;v115;v59;contient;285;g;;;
e250;v115;v116;contient;250;g;;;
e251;v115;v47;contient;40;g;;;
e252;v117;v118;contient;2;pcs;;;
e253;v117;v121;contient;280;g;;;
e254;v117;v126;contient;815;g;;;
e255;v117;v125;contient;200;g;;;
e256;v118;v119;contient;100;g;;;
e257;v119;v103;contient;125;g;;;
e258;v119;v7;contient;35;g;;;
e259;v119;v45;contient;90;g;;;
e260;v119;v120;contient;75;g;;;
e261;v120;v285;contient;;;;;
e262;v121;v123;contient;143;g;;;
e263;v121;v122;contient;571;g;;;
e264;v121;v124;contient;286;g;;;
e265;v122;v285;contient;;;;;
e266;v123;v284;contient;;;;;
e267;v126;v17;contient;564;g;;;
e268;v126;v57;contient;491;g;;;
e269;v126;v114;contient;982;g;;;
e270;v126;v113;contient;1963;g;;;
e271;v128;v131;contient;634;g;;;
e272;v128;v129;contient;110;g;;;
e273;v129;v130;contient;2667;g;;;
e274;v129;v105;contient;1333;g;;;
e275;v130;v6;contient;5000;g;;;
e276;v130;v7;contient;5000;g;;;
e277;v131;v4;contient;473;g;;;
e278;v131;v7;contient;709;g;;;
e279;v131;v20;contient;567;g;;;
e280;v131;v71;contient;12;g;;;
e281;v131;v113;contient;331;g;;;
e282;v131;v72;contient;189;g;;;
e283;v131;v106;contient;9;pcs;;;
e284;v131;v129;contient;709;g;;;
e285;v132;v99;contient;1;pcs;;;
e286;v132;v133;contient;7;pcs;;;
e287;v132;v7;contient;40;g;;;
e288;v132;v47;contient;40;g;;;
e289;v134;v23;contient;47.5;g;;;
e290;v134;v4;contient;3;g;;;
e291;v134;v61;contient;3.125;g;;;
e292;v134;v45;contient;3.125;g;;;
e293;v134;v135;contient;66.875;g;;;
e294;v135;v136;contient;2208;g;;;
e295;v135;v122;contient;292;g;;;
e296;v136;v22;contient;1577;g;;;
e297;v136;v18;contient;423;g;;;
e298;v137;v138;contient;100;g;;;
e299;v137;v7;contient;10;g;;;
e300;v138;v20;contient;1522;g;;;
e301;v138;v9;contient;29;g;;;
e302;v138;v7;contient;117;g;;;
e303;v138;v10;contient;73;g;;;
e304;v138;v4;contient;585;g;;;
e305;v138;v16;contient;146;g;;;
e306;v138;v18;contient;527;g;;;
e307;v139;v137;contient;1;pcs;;;
e308;v139;v140;contient;25;g;;;
e309;v140;v285;contient;;;;;
e310;v141;v137;contient;1;pcs;;;
e311;v141;v142;contient;25;g;;;
e312;v144;v138;contient;30;g;;;
e313;v144;v7;contient;5;g;;;
e314;v145;v144;contient;1;pcs;;;
e315;v145;v140;contient;10;g;;;
e316;v146;v144;contient;1;pcs;;;
e317;v146;v142;contient;10;g;;;
e318;v147;v23;contient;50;g;;;
e319;v147;v148;contient;90;g;;;
e320;v147;v17;contient;3;g;;;
e321;v147;v19;contient;10;g;;;
e322;v147;v150;contient;18.75;g;;;
e323;v148;v22;contient;962;g;;;
e324;v148;v153;contient;38;g;;;
e325;v150;v6;contient;116;g;;;
e326;v150;v7;contient;271;g;;;
e327;v150;v17;contient;225;g;;;
e328;v150;v18;contient;388;g;;;
e329;v151;v23;contient;50;g;;;
e330;v151;v152;contient;90;g;;;
e331;v151;v17;contient;3;g;;;
e332;v151;v19;contient;10;g;;;
e333;v151;v150;contient;18.75;g;;;
e334;v152;v22;contient;966;g;;;
e335;v152;v149;contient;34;g;;;
e336;v154;v23;contient;50;g;;;
e337;v154;v22;contient;90;g;;;
e338;v154;v17;contient;3;g;;;
e339;v154;v19;contient;10;g;;;
e340;v154;v150;contient;18.75;g;;;
e341;v155;v65;contient;50;g;;;
e342;v155;v4;contient;2;g;;;
e343;v156;v65;contient;300;g;;;
e344;v156;v4;contient;3;g;;;
e345;v157;v65;contient;150;g;;;
e346;v157;v4;contient;3;g;;;
e347;v158;v65;contient;50;g;;;
e348;v158;v4;contient;3;g;;;
e349;v159;v160;contient;1760;g;;;
e350;v160;v18;contient;818;g;;;
e351;v160;v52;contient;1000;g;;;
e352;v160;v4;contient;909;g;;;
e353;v160;v114;contient;455;g;;;
e354;v160;v20;contient;364;g;;;
e355;v160;v161;contient;45;g;;;
e356;v160;v162;contient;364;g;;;
e357;v160;v9;contient;45;g;;;
e358;v162;v285;contient;;;;;
e359;v163;v168;contient;1.2346;pcs;;;
e360;v164;v168;contient;1.4938;pcs;;;
e361;v165;v168;contient;1.7778;pcs;;;
e362;v166;v168;contient;2.0864;pcs;;;
e363;v167;v168;contient;1;pcs;;;
e364;v168;v169;contient;75;g;;;
e365;v168;v170;contient;75;g;;;
e366;v168;v172;contient;1;pcs;;;
e367;v168;v174;contient;250;g;;;
e368;v168;v171;contient;3;g;;;
e369;v170;v284;contient;;;;;
e370;v172;v173;contient;225;g;;;
e371;v173;v20;contient;2222;g;;;
e372;v173;v18;contient;1111;g;;;
e373;v173;v17;contient;178;g;;;
e374;v173;v6;contient;444;g;;;
e375;v173;v9;contient;44;g;;;
e376;v174;v4;contient;886;g;;;
e377;v174;v17;contient;354;g;;;
e378;v174;v113;contient;1108;g;;;
e379;v174;v16;contient;1108;g;;;
e380;v174;v9;contient;44;g;;;
e381;v175;v176;contient;1;pcs;;;
e382;v176;v182;contient;75;g;;;
e383;v176;v181;contient;75;g;;;
e384;v176;v172;contient;1;pcs;;;
e385;v176;v174;contient;250;g;;;
e386;v177;v176;contient;1.2346;pcs;;;
e387;v178;v176;contient;1.4938;pcs;;;
e388;v179;v176;contient;1.7778;pcs;;;
e389;v180;v176;contient;2.0864;pcs;;;
e390;v182;v284;contient;;;;;
